Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
0,Ravenclaw,Tamara,Hsu,2000-03-30,Left,58384.0,-487.88608595139016,5.727180298550763,4.8788608595139005,4.7219999999999995,272.0358314131986,532.4842261151226,5.231058287281048,1039.7882807428462,3.7903690663529614,0.7159391270136213,-232.79405,-26.89
1,Slytherin,Erich,Paredes,1999-10-14,Right,67239.0,-552.0605073421984,-5.987445780050746,5.520605073421985,-5.612,-487.3405572673422,367.7603030171392,4.107170286816076,1058.9445920642218,7.248741976146588,0.091674183916857,-252.18425,-113.45
2,Ravenclaw,Stephany,Braun,1999-11-03,Left,23702.0,-366.0761168823237,7.7250166064392305,3.6607611688232367,6.14,664.8935212343011,602.5852838484592,3.5555789956034967,1088.0883479121803,8.728530920939827,-0.5153268462809037,-227.34265,30.42
3,Gryffindor,Vesta,Mcmichael,2000-08-19,Left,32667.0,697.742808842469,-6.4972144445985505,-6.9774280884246895,4.026,-537.0011283872882,523.9821331934736,-4.8096366069645935,920.3914493107919,0.8219105005879808,-0.014040417239052931,-256.84675,200.64
4,Gryffindor,Gaston,Gibbs,1998-09-27,Left,60158.0,436.7752035539525,-7.820623052454388,,2.2359999999999998,-444.2625366004496,599.3245143172293,-3.4443765754165385,937.4347240534976,4.311065821291761,-0.2640700765443832,-256.3873,157.98
5,Slytherin,Corrine,Hammond,1999-04-04,Right,21209.0,-613.6871603822729,-4.289196726941419,6.136871603822727,-6.5920000000000005,-440.99770426820817,396.20180391410247,5.3802859494804585,1052.8451637299704,11.751212035101073,1.049894068203692,-247.94548999999998,-34.69
6,Gryffindor,Tom,Guido,2000-09-30,Left,49167.0,628.0460512248516,-4.861976240490781,-6.280460512248515,,-926.8925116349667,583.7424423327342,-7.322486416427907,923.5395732944658,1.6466661386700716,0.1530218296077356,-257.83447,261.55
7,Hufflepuff,Alicia,Hayward,1997-07-08,Right,33010.0,411.4127268406701,5.931831618301035,-4.114127268406701,2.7689999999999997,-502.0213360777252,439.3514157413572,,1041.091935399735,6.58179131885481,-0.17170445234101908,-244.03492000000003,72.25
8,Gryffindor,Bella,Leatherman,1998-12-07,Left,20278.0,496.3949449852823,-5.215891145868072,-4.963949449852823,5.855,-626.552041128547,567.8424015938325,-6.198661229053442,925.2555003872844,1.0865178213133744,1.1470315267700957,-252.27561,244.11
9,Hufflepuff,Hayden,Aponte,2001-10-13,Right,46316.0,527.1935850836812,7.922205496177112,-5.271935850836812,3.3560000000000003,-398.1019908932312,341.47560564416693,4.978613530314481,1041.4146653613177,2.068824178512835,-0.529578503638637,-244.57527000000002,-0.09
10,Hufflepuff,Antonio,Denning,1998-05-21,Right,35619.0,604.9339619176021,5.484188547740066,-6.049339619176023,5.358,-530.7958955569857,484.8726713263256,5.6996535617818695,1036.2853570584764,9.293131894951047,-0.4965534984054157,-242.69168,64.61
11,Hufflepuff,Neville,Hall,2001-02-16,Left,46550.0,438.55694958685325,5.320518357754184,-4.385569495868531,3.014,-518.5607177463045,417.0640932879666,4.8014365930153895,1046.7619580239934,6.376965575596179,-0.9196387437030824,-244.91343999999998,20.66
